standing_id,team_id,position,played,won,draw,lost,points,goals_for,goals_against,goal_difference
1,1,1,8,8,0,0,24,23,4,19
2,2,2,8,7,0,1,21,22,8,14
3,3,3,8,6,0,2,18,20,8,12
4,4,4,8,5,2,1,17,17,7,10
5,5,5,8,5,1,2,16,22,14,8
6,6,6,8,5,1,2,16,17,10,7
7,7,7,8,5,1,2,16,17,11,6
8,8,8,8,5,1,2,16,15,9,6
9,9,9,8,5,0,3,15,21,12,9
10,10,10,8,5,0,3,15,15,7,8
11,11,11,8,4,2,2,14,21,11,10
12,12,12,8,4,2,2,14,17,7,10
13,13,13,8,3,4,1,13,14,10,4
14,14,14,8,4,1,3,13,17,15,2
15,15,15,8,4,1,3,13,10,10,0
16,16,16,8,3,3,2,12,13,14,-1
17,17,17,8,3,2,3,11,19,17,2
18,18,18,8,3,2,3,11,10,14,-4
19,19,19,8,3,1,4,10,15,17,-2
20,20,20,8,3,1,4,10,9,11,-2
21,21,21,8,2,4,2,10,8,14,-6
22,22,22,8,3,1,4,10,13,21,-8
23,23,23,8,2,3,3,9,14,15,-1
24,24,24,8,3,0,5,9,10,12,-2
25,25,25,8,3,0,5,9,11,14,-3
26,26,26,8,2,3,3,9,8,11,-3
27,27,27,8,3,0,5,9,8,17,-9
28,28,28,8,2,2,4,8,16,16,0
29,29,29,8,2,2,4,8,9,14,-5
30,30,30,8,2,2,4,8,9,15,-6
31,31,31,8,2,2,4,8,12,21,-9
32,32,32,8,2,0,6,6,8,21,-13
33,33,33,8,1,1,6,4,10,21,-11
34,34,34,8,0,3,5,3,5,19,-14
35,35,35,8,0,1,7,1,5,18,-13
36,36,36,8,0,1,7,1,7,22,-15
